,GBPUSD Curncy_ratio
10869,967.1819400595965
10870,967.1819400595965
10871,967.1819400595965
10872,967.1819400595965
10873,967.1819400595965
10874,967.1819400595965
10875,967.1819400595965
10876,967.1819400595965
10877,967.1819400595965
10878,967.1819400595965
10879,967.1819400595965
10880,967.1819400595965
10881,967.1819400595965
10882,967.1819400595965
10883,967.1819400595965
10884,967.1819400595965
10885,967.1819400595965
10886,967.1819400595965
10887,967.1819400595965
10888,967.1819400595965
10889,967.1819400595965
10890,967.1819400595965
10891,967.1819400595965
10892,967.1819400595965
10893,967.1819400595965
10894,967.1819400595965
10895,967.1819400595965
10896,967.1819400595965
10897,967.1819400595965
10898,967.1819400595965
10899,967.1819400595965
10900,967.1819400595965
10901,967.1819400595965
10902,967.1819400595965
10903,967.1819400595965
10904,967.1819400595965
10905,967.1819400595965
10906,967.1819400595965
10907,967.1819400595965
10908,967.1819400595965
10909,967.1819400595965
10910,967.1819400595965
10911,967.1819400595965
10912,967.1819400595965
10913,967.1819400595965
10914,967.1819400595965
10915,967.1819400595965
10916,967.1819400595965
10917,967.1819400595965
10918,967.1819400595965
10919,967.1819400595965
10920,967.1819400595965
10921,967.1819400595965
10922,967.1819400595965
10923,967.1819400595965
10924,967.1819400595965
10925,967.1819400595965
10926,967.1819400595965
10927,967.1819400595965
10928,967.1819400595965
10929,967.1819400595965
10930,967.1819400595965
10931,967.1819400595965
10932,967.1819400595965
10933,967.1819400595965
10934,967.1819400595965
10935,967.1819400595965
10936,967.1819400595965
10937,967.1819400595965
10938,967.1819400595965
10939,967.1819400595965
10940,967.1819400595965
10941,967.1819400595965
10942,967.1819400595965
10943,967.1819400595965
10944,967.1819400595965
10945,967.1819400595965
10946,967.1819400595965
10947,967.1819400595965
10948,967.1819400595965
10949,967.1819400595965
10950,967.1819400595965
10951,967.1819400595965
10952,967.1819400595965
10953,967.1819400595965
10954,967.1819400595965
10955,967.1819400595965
10956,1043.0746244433697
10957,1043.0746244433697
10958,1043.0746244433697
10959,1043.0746244433697
10960,1043.0746244433697
10961,1043.0746244433697
10962,1043.0746244433697
10963,1043.0746244433697
10964,1043.0746244433697
10965,1043.0746244433697
10966,1043.0746244433697
10967,1043.0746244433697
10968,1043.0746244433697
10969,1043.0746244433697
10970,1043.0746244433697
10971,1043.0746244433697
10972,1043.0746244433697
10973,1043.0746244433697
10974,1043.0746244433697
10975,1043.0746244433697
10976,1043.0746244433697
10977,1043.0746244433697
10978,1043.0746244433697
10979,1043.0746244433697
10980,1043.0746244433697
10981,1043.0746244433697
10982,1043.0746244433697
10983,1043.0746244433697
10984,1043.0746244433697
10985,1043.0746244433697
10986,1043.0746244433697
10987,1043.0746244433697
10988,1043.0746244433697
10989,1043.0746244433697
10990,1043.0746244433697
10991,1043.0746244433697
10992,1043.0746244433697
10993,1043.0746244433697
10994,1043.0746244433697
10995,1043.0746244433697
10996,1043.0746244433697
10997,1043.0746244433697
10998,1043.0746244433697
10999,1043.0746244433697
11000,1043.0746244433697
11001,1043.0746244433697
11002,1043.0746244433697
11003,1043.0746244433697
11004,1043.0746244433697
11005,1043.0746244433697
11006,1043.0746244433697
11007,1043.0746244433697
11008,1043.0746244433697
11009,1043.0746244433697
11010,1043.0746244433697
11011,1043.0746244433697
11012,1043.0746244433697
11013,1043.0746244433697
11014,1043.0746244433697
11015,1043.0746244433697
11016,1043.0746244433697
11017,1043.0746244433697
11018,1043.0746244433697
11019,1043.0746244433697
11020,1043.0746244433697
11021,1043.0746244433697
11022,1043.0746244433697
11023,1043.0746244433697
11024,1043.0746244433697
11025,1043.0746244433697
11026,1043.0746244433697
11027,1043.0746244433697
11028,1043.0746244433697
11029,1043.0746244433697
11030,1043.0746244433697
11031,1043.0746244433697
11032,1043.0746244433697
11033,1043.0746244433697
11034,1043.0746244433697
11035,1043.0746244433697
11036,1043.0746244433697
11037,1043.0746244433697
11038,1043.0746244433697
11039,1043.0746244433697
11040,1043.0746244433697
11041,1043.0746244433697
11042,1043.0746244433697
11043,1043.0746244433697
11044,1043.0746244433697
11045,1043.0746244433697
11046,1043.0746244433697
11047,1013.560006910304
11048,1013.560006910304
11049,1013.560006910304
11050,1013.560006910304
11051,1013.560006910304
11052,1013.560006910304
11053,1013.560006910304
11054,1013.560006910304
11055,1013.560006910304
11056,1013.560006910304
11057,1013.560006910304
11058,1013.560006910304
11059,1013.560006910304
11060,1013.560006910304
11061,1013.560006910304
11062,1013.560006910304
11063,1013.560006910304
11064,1013.560006910304
11065,1013.560006910304
11066,1013.560006910304
11067,1013.560006910304
11068,1013.560006910304
11069,1013.560006910304
11070,1013.560006910304
11071,1013.560006910304
11072,1013.560006910304
11073,1013.560006910304
11074,1013.560006910304
11075,1013.560006910304
11076,1013.560006910304
11077,1013.560006910304
11078,1013.560006910304
11079,1013.560006910304
11080,1013.560006910304
11081,1013.560006910304
11082,1013.560006910304
11083,1013.560006910304
11084,1013.560006910304
11085,1013.560006910304
11086,1013.560006910304
11087,1013.560006910304
11088,1013.560006910304
11089,1013.560006910304
11090,1013.560006910304
11091,1013.560006910304
11092,1013.560006910304
11093,1013.560006910304
11094,1013.560006910304
11095,1013.560006910304
11096,1013.560006910304
11097,1013.560006910304
11098,1013.560006910304
11099,1013.560006910304
11100,1013.560006910304
11101,1013.560006910304
11102,1013.560006910304
11103,1013.560006910304
11104,1013.560006910304
11105,1013.560006910304
11106,1013.560006910304
11107,1013.560006910304
11108,1013.560006910304
11109,1013.560006910304
11110,1013.560006910304
11111,1013.560006910304
11112,1013.560006910304
11113,1013.560006910304
11114,1013.560006910304
11115,1013.560006910304
11116,1013.560006910304
11117,1013.560006910304
11118,1013.560006910304
11119,1013.560006910304
11120,1013.560006910304
11121,1013.560006910304
11122,1013.560006910304
11123,1013.560006910304
11124,1013.560006910304
11125,1013.560006910304
11126,1013.560006910304
11127,1013.560006910304
11128,1013.560006910304
11129,1013.560006910304
11130,1013.560006910304
11131,1013.560006910304
11132,1013.560006910304
11133,1013.560006910304
11134,1013.560006910304
11135,1013.560006910304
11136,1013.560006910304
11137,1013.560006910304
11138,1043.1742281033396
11139,1043.1742281033396
11140,1043.1742281033396
11141,1043.1742281033396
11142,1043.1742281033396
11143,1043.1742281033396
11144,1043.1742281033396
11145,1043.1742281033396
11146,1043.1742281033396
11147,1043.1742281033396
11148,1043.1742281033396
11149,1043.1742281033396
11150,1043.1742281033396
11151,1043.1742281033396
11152,1043.1742281033396
11153,1043.1742281033396
11154,1043.1742281033396
11155,1043.1742281033396
11156,1043.1742281033396
11157,1043.1742281033396
11158,1043.1742281033396
11159,1043.1742281033396
11160,1043.1742281033396
11161,1043.1742281033396
11162,1043.1742281033396
11163,1043.1742281033396
11164,1043.1742281033396
11165,1043.1742281033396
11166,1043.1742281033396
11167,1043.1742281033396
11168,1043.1742281033396
11169,1043.1742281033396
11170,1043.1742281033396
11171,1043.1742281033396
11172,1043.1742281033396
11173,1043.1742281033396
11174,1043.1742281033396
11175,1043.1742281033396
11176,1043.1742281033396
11177,1043.1742281033396
11178,1043.1742281033396
11179,1043.1742281033396
11180,1043.1742281033396
11181,1043.1742281033396
11182,1043.1742281033396
11183,1043.1742281033396
11184,1043.1742281033396
11185,1043.1742281033396
11186,1043.1742281033396
11187,1043.1742281033396
11188,1043.1742281033396
11189,1043.1742281033396
11190,1043.1742281033396
11191,1043.1742281033396
11192,1043.1742281033396
11193,1043.1742281033396
11194,1043.1742281033396
11195,1043.1742281033396
11196,1043.1742281033396
11197,1043.1742281033396
11198,1043.1742281033396
11199,1043.1742281033396
11200,1043.1742281033396
11201,1043.1742281033396
11202,1043.1742281033396
11203,1043.1742281033396
11204,1043.1742281033396
11205,1043.1742281033396
11206,1043.1742281033396
11207,1043.1742281033396
11208,1043.1742281033396
11209,1043.1742281033396
11210,1043.1742281033396
11211,1043.1742281033396
11212,1043.1742281033396
11213,1043.1742281033396
11214,1043.1742281033396
11215,1043.1742281033396
