,NHSPATOT Index_ratio
10869,919.6424905216189
10870,919.6424905216189
10871,919.6424905216189
10872,919.6424905216189
10873,919.6424905216189
10874,919.6424905216189
10875,919.6424905216189
10876,919.6424905216189
10877,919.6424905216189
10878,919.6424905216189
10879,919.6424905216189
10880,919.6424905216189
10881,919.6424905216189
10882,919.6424905216189
10883,919.6424905216189
10884,919.6424905216189
10885,919.6424905216189
10886,919.6424905216189
10887,919.6424905216189
10888,919.6424905216189
10889,919.6424905216189
10890,919.6424905216189
10891,919.6424905216189
10892,919.6424905216189
10893,919.6424905216189
10894,919.6424905216189
10895,919.6424905216189
10896,919.6424905216189
10897,919.6424905216189
10898,919.6424905216189
10899,919.6424905216189
10900,919.6424905216189
10901,919.6424905216189
10902,919.6424905216189
10903,919.6424905216189
10904,919.6424905216189
10905,919.6424905216189
10906,919.6424905216189
10907,919.6424905216189
10908,919.6424905216189
10909,919.6424905216189
10910,919.6424905216189
10911,919.6424905216189
10912,919.6424905216189
10913,919.6424905216189
10914,919.6424905216189
10915,919.6424905216189
10916,919.6424905216189
10917,919.6424905216189
10918,919.6424905216189
10919,919.6424905216189
10920,919.6424905216189
10921,919.6424905216189
10922,919.6424905216189
10923,919.6424905216189
10924,919.6424905216189
10925,919.6424905216189
10926,919.6424905216189
10927,919.6424905216189
10928,919.6424905216189
10929,919.6424905216189
10930,919.6424905216189
10931,919.6424905216189
10932,919.6424905216189
10933,919.6424905216189
10934,919.6424905216189
10935,919.6424905216189
10936,919.6424905216189
10937,919.6424905216189
10938,919.6424905216189
10939,919.6424905216189
10940,919.6424905216189
10941,919.6424905216189
10942,919.6424905216189
10943,919.6424905216189
10944,919.6424905216189
10945,919.6424905216189
10946,919.6424905216189
10947,919.6424905216189
10948,919.6424905216189
10949,919.6424905216189
10950,919.6424905216189
10951,919.6424905216189
10952,919.6424905216189
10953,919.6424905216189
10954,919.6424905216189
10955,919.6424905216189
10956,849.3646850247535
10957,849.3646850247535
10958,849.3646850247535
10959,849.3646850247535
10960,849.3646850247535
10961,849.3646850247535
10962,849.3646850247535
10963,849.3646850247535
10964,849.3646850247535
10965,849.3646850247535
10966,849.3646850247535
10967,849.3646850247535
10968,849.3646850247535
10969,849.3646850247535
10970,849.3646850247535
10971,849.3646850247535
10972,849.3646850247535
10973,849.3646850247535
10974,849.3646850247535
10975,849.3646850247535
10976,849.3646850247535
10977,849.3646850247535
10978,849.3646850247535
10979,849.3646850247535
10980,849.3646850247535
10981,849.3646850247535
10982,849.3646850247535
10983,849.3646850247535
10984,849.3646850247535
10985,849.3646850247535
10986,849.3646850247535
10987,849.3646850247535
10988,849.3646850247535
10989,849.3646850247535
10990,849.3646850247535
10991,849.3646850247535
10992,849.3646850247535
10993,849.3646850247535
10994,849.3646850247535
10995,849.3646850247535
10996,849.3646850247535
10997,849.3646850247535
10998,849.3646850247535
10999,849.3646850247535
11000,849.3646850247535
11001,849.3646850247535
11002,849.3646850247535
11003,849.3646850247535
11004,849.3646850247535
11005,849.3646850247535
11006,849.3646850247535
11007,849.3646850247535
11008,849.3646850247535
11009,849.3646850247535
11010,849.3646850247535
11011,849.3646850247535
11012,849.3646850247535
11013,849.3646850247535
11014,849.3646850247535
11015,849.3646850247535
11016,849.3646850247535
11017,849.3646850247535
11018,849.3646850247535
11019,849.3646850247535
11020,849.3646850247535
11021,849.3646850247535
11022,849.3646850247535
11023,849.3646850247535
11024,849.3646850247535
11025,849.3646850247535
11026,849.3646850247535
11027,849.3646850247535
11028,849.3646850247535
11029,849.3646850247535
11030,849.3646850247535
11031,849.3646850247535
11032,849.3646850247535
11033,849.3646850247535
11034,849.3646850247535
11035,849.3646850247535
11036,849.3646850247535
11037,849.3646850247535
11038,849.3646850247535
11039,849.3646850247535
11040,849.3646850247535
11041,849.3646850247535
11042,849.3646850247535
11043,849.3646850247535
11044,849.3646850247535
11045,849.3646850247535
11046,849.3646850247535
11047,714.3502484565578
11048,714.3502484565578
11049,714.3502484565578
11050,714.3502484565578
11051,714.3502484565578
11052,714.3502484565578
11053,714.3502484565578
11054,714.3502484565578
11055,714.3502484565578
11056,714.3502484565578
11057,714.3502484565578
11058,714.3502484565578
11059,714.3502484565578
11060,714.3502484565578
11061,714.3502484565578
11062,714.3502484565578
11063,714.3502484565578
11064,714.3502484565578
11065,714.3502484565578
11066,714.3502484565578
11067,714.3502484565578
11068,714.3502484565578
11069,714.3502484565578
11070,714.3502484565578
11071,714.3502484565578
11072,714.3502484565578
11073,714.3502484565578
11074,714.3502484565578
11075,714.3502484565578
11076,714.3502484565578
11077,714.3502484565578
11078,714.3502484565578
11079,714.3502484565578
11080,714.3502484565578
11081,714.3502484565578
11082,714.3502484565578
11083,714.3502484565578
11084,714.3502484565578
11085,714.3502484565578
11086,714.3502484565578
11087,714.3502484565578
11088,714.3502484565578
11089,714.3502484565578
11090,714.3502484565578
11091,714.3502484565578
11092,714.3502484565578
11093,714.3502484565578
11094,714.3502484565578
11095,714.3502484565578
11096,714.3502484565578
11097,714.3502484565578
11098,714.3502484565578
11099,714.3502484565578
11100,714.3502484565578
11101,714.3502484565578
11102,714.3502484565578
11103,714.3502484565578
11104,714.3502484565578
11105,714.3502484565578
11106,714.3502484565578
11107,714.3502484565578
11108,714.3502484565578
11109,714.3502484565578
11110,714.3502484565578
11111,714.3502484565578
11112,714.3502484565578
11113,714.3502484565578
11114,714.3502484565578
11115,714.3502484565578
11116,714.3502484565578
11117,714.3502484565578
11118,714.3502484565578
11119,714.3502484565578
11120,714.3502484565578
11121,714.3502484565578
11122,714.3502484565578
11123,714.3502484565578
11124,714.3502484565578
11125,714.3502484565578
11126,714.3502484565578
11127,714.3502484565578
11128,714.3502484565578
11129,714.3502484565578
11130,714.3502484565578
11131,714.3502484565578
11132,714.3502484565578
11133,714.3502484565578
11134,714.3502484565578
11135,714.3502484565578
11136,714.3502484565578
11137,714.3502484565578
11138,1411.223033644868
11139,1411.223033644868
11140,1411.223033644868
11141,1411.223033644868
11142,1411.223033644868
11143,1411.223033644868
11144,1411.223033644868
11145,1411.223033644868
11146,1411.223033644868
11147,1411.223033644868
11148,1411.223033644868
11149,1411.223033644868
11150,1411.223033644868
11151,1411.223033644868
11152,1411.223033644868
11153,1411.223033644868
11154,1411.223033644868
11155,1411.223033644868
11156,1411.223033644868
11157,1411.223033644868
11158,1411.223033644868
11159,1411.223033644868
11160,1411.223033644868
11161,1411.223033644868
11162,1411.223033644868
11163,1411.223033644868
11164,1411.223033644868
11165,1411.223033644868
11166,1411.223033644868
11167,1411.223033644868
11168,1411.223033644868
11169,1411.223033644868
11170,1411.223033644868
11171,1411.223033644868
11172,1411.223033644868
11173,1411.223033644868
11174,1411.223033644868
11175,1411.223033644868
11176,1411.223033644868
11177,1411.223033644868
11178,1411.223033644868
11179,1411.223033644868
11180,1411.223033644868
11181,1411.223033644868
11182,1411.223033644868
11183,1411.223033644868
11184,1411.223033644868
11185,1411.223033644868
11186,1411.223033644868
11187,1411.223033644868
11188,1411.223033644868
11189,1411.223033644868
11190,1411.223033644868
11191,1411.223033644868
11192,1411.223033644868
11193,1411.223033644868
11194,1411.223033644868
11195,1411.223033644868
11196,1411.223033644868
11197,1411.223033644868
11198,1411.223033644868
11199,1411.223033644868
11200,1411.223033644868
11201,1411.223033644868
11202,1411.223033644868
11203,1411.223033644868
11204,1411.223033644868
11205,1411.223033644868
11206,1411.223033644868
11207,1411.223033644868
