,CPI CHNG Index_ratio
11060,867.2865595942517
11061,867.2865595942517
11062,867.2865595942517
11063,867.2865595942517
11064,867.2865595942517
11065,867.2865595942517
11066,867.2865595942517
11067,867.2865595942517
11068,867.2865595942517
11069,867.2865595942517
11070,867.2865595942517
11071,867.2865595942517
11072,867.2865595942517
11073,867.2865595942517
11074,867.2865595942517
11075,867.2865595942517
11076,867.2865595942517
11077,867.2865595942517
11078,867.2865595942517
11079,867.2865595942517
11080,867.2865595942517
11081,867.2865595942517
11082,867.2865595942517
11083,867.2865595942517
11084,867.2865595942517
11085,867.2865595942517
11086,867.2865595942517
11087,867.2865595942517
11088,867.2865595942517
11089,867.2865595942517
11090,867.2865595942517
11091,867.2865595942517
11092,867.2865595942517
11093,867.2865595942517
11094,867.2865595942517
11095,867.2865595942517
11096,867.2865595942517
11097,867.2865595942517
11098,867.2865595942517
11099,867.2865595942517
11100,867.2865595942517
11101,867.2865595942517
11102,867.2865595942517
11103,867.2865595942517
11104,867.2865595942517
11105,867.2865595942517
11106,867.2865595942517
11107,867.2865595942517
11108,867.2865595942517
11109,867.2865595942517
11110,867.2865595942517
11111,867.2865595942517
11112,867.2865595942517
11113,867.2865595942517
11114,867.2865595942517
11115,867.2865595942517
11116,867.2865595942517
11117,867.2865595942517
11118,867.2865595942517
11119,867.2865595942517
11120,867.2865595942517
11121,867.2865595942517
11122,867.2865595942517
11123,867.2865595942517
11124,867.2865595942517
11125,867.2865595942517
11126,867.2865595942517
11127,867.2865595942517
11128,867.2865595942517
11129,867.2865595942517
11130,867.2865595942517
11131,867.2865595942517
11132,867.2865595942517
11133,867.2865595942517
11134,867.2865595942517
11135,867.2865595942517
11136,867.2865595942517
11137,867.2865595942517
11138,529.2715484363082
11139,529.2715484363082
11140,529.2715484363082
11141,529.2715484363082
11142,529.2715484363082
11143,529.2715484363082
11144,529.2715484363082
11145,529.2715484363082
11146,529.2715484363082
11147,529.2715484363082
11148,529.2715484363082
11149,529.2715484363082
11150,529.2715484363082
11151,529.2715484363082
11152,529.2715484363082
11153,529.2715484363082
11154,529.2715484363082
11155,529.2715484363082
11156,529.2715484363082
11157,529.2715484363082
11158,529.2715484363082
11159,529.2715484363082
11160,529.2715484363082
11161,529.2715484363082
11162,529.2715484363082
11163,529.2715484363082
11164,529.2715484363082
11165,529.2715484363082
11166,529.2715484363082
11167,529.2715484363082
11168,529.2715484363082
11169,529.2715484363082
11170,529.2715484363082
11171,529.2715484363082
11172,529.2715484363082
11173,529.2715484363082
11174,529.2715484363082
11175,529.2715484363082
11176,529.2715484363082
11177,529.2715484363082
11178,529.2715484363082
11179,529.2715484363082
11180,529.2715484363082
11181,529.2715484363082
11182,529.2715484363082
11183,529.2715484363082
11184,529.2715484363082
11185,529.2715484363082
11186,529.2715484363082
11187,529.2715484363082
11188,529.2715484363082
11189,529.2715484363082
11190,529.2715484363082
11191,529.2715484363082
11192,529.2715484363082
11193,529.2715484363082
11194,529.2715484363082
11195,529.2715484363082
11196,529.2715484363082
11197,529.2715484363082
11198,529.2715484363082
11199,529.2715484363082
11200,529.2715484363082
11201,529.2715484363082
11202,529.2715484363082
11203,529.2715484363082
11204,529.2715484363082
11205,529.2715484363082
11206,529.2715484363082
11207,529.2715484363082
11208,529.2715484363082
11209,529.2715484363082
11210,529.2715484363082
11211,529.2715484363082
11212,529.2715484363082
11213,529.2715484363082
11214,529.2715484363082
11215,529.2715484363082
11216,529.2715484363082
11217,529.2715484363082
11218,529.2715484363082
11219,529.2715484363082
11220,529.2715484363082
11221,529.2715484363082
11222,529.2715484363082
11223,529.2715484363082
11224,529.2715484363082
11225,529.2715484363082
11226,529.2715484363082
11227,529.2715484363082
11228,529.2715484363082
11229,529.2715484363082
11230,1621.1293260473583
11231,1621.1293260473583
11232,1621.1293260473583
11233,1621.1293260473583
11234,1621.1293260473583
11235,1621.1293260473583
