,USDMXN Curncy_ratio
11129,1000.9618159084355
11130,1000.9618159084355
11131,1000.9618159084355
11132,1000.9618159084355
11133,1000.9618159084355
11134,1000.9618159084355
11135,1000.9618159084355
11136,1000.9618159084355
11137,1000.9618159084355
11138,1006.476096774328
11139,1006.476096774328
11140,1006.476096774328
11141,1006.476096774328
11142,1006.476096774328
11143,1006.476096774328
11144,1006.476096774328
11145,1006.476096774328
11146,1006.476096774328
11147,1006.476096774328
11148,1006.476096774328
11149,1006.476096774328
11150,1006.476096774328
11151,1006.476096774328
11152,1006.476096774328
11153,1006.476096774328
11154,1006.476096774328
11155,1006.476096774328
11156,1006.476096774328
11157,1006.476096774328
11158,1006.476096774328
11159,1006.476096774328
11160,1006.476096774328
11161,1006.476096774328
11162,1006.476096774328
11163,1006.476096774328
11164,1006.476096774328
11165,1006.476096774328
11166,1006.476096774328
11167,1006.476096774328
11168,1006.476096774328
11169,1006.476096774328
11170,1006.476096774328
11171,1006.476096774328
11172,1006.476096774328
11173,1006.476096774328
11174,1006.476096774328
11175,1006.476096774328
11176,1006.476096774328
11177,1006.476096774328
11178,1006.476096774328
11179,1006.476096774328
11180,1006.476096774328
11181,1006.476096774328
11182,1006.476096774328
11183,1006.476096774328
11184,1006.476096774328
11185,1006.476096774328
11186,1006.476096774328
11187,1006.476096774328
11188,1006.476096774328
11189,1006.476096774328
11190,1006.476096774328
11191,1006.476096774328
11192,1006.476096774328
11193,1006.476096774328
11194,1006.476096774328
11195,1006.476096774328
11196,1006.476096774328
11197,1006.476096774328
11198,1006.476096774328
11199,1006.476096774328
11200,1006.476096774328
11201,1006.476096774328
11202,1006.476096774328
11203,1006.476096774328
11204,1006.476096774328
11205,1006.476096774328
11206,1006.476096774328
11207,1006.476096774328
11208,1006.476096774328
11209,1006.476096774328
11210,1006.476096774328
11211,1006.476096774328
11212,1006.476096774328
11213,1006.476096774328
11214,1006.476096774328
11215,1006.476096774328
11216,1006.476096774328
11217,1006.476096774328
11218,1006.476096774328
11219,1006.476096774328
11220,1006.476096774328
11221,1006.476096774328
11222,1006.476096774328
11223,1006.476096774328
11224,1006.476096774328
11225,1006.476096774328
11226,1006.476096774328
11227,1006.476096774328
11228,1006.476096774328
11229,1006.476096774328
11230,1006.2798054676804
11231,1006.2798054676804
11232,1006.2798054676804
11233,1006.2798054676804
11234,1006.2798054676804
11235,1006.2798054676804
11236,1006.2798054676804
11237,1006.2798054676804
11238,1006.2798054676804
11239,1006.2798054676804
11240,1006.2798054676804
11241,1006.2798054676804
11242,1006.2798054676804
11243,1006.2798054676804
11244,1006.2798054676804
11245,1006.2798054676804
11246,1006.2798054676804
11247,1006.2798054676804
11248,1006.2798054676804
11249,1006.2798054676804
11250,1006.2798054676804
11251,1006.2798054676804
11252,1006.2798054676804
11253,1006.2798054676804
11254,1006.2798054676804
