,CHPMINDX Index_ratio
10564,1045.24115867441
10565,1045.24115867441
10566,1045.24115867441
10567,1045.24115867441
10568,1045.24115867441
10569,1045.24115867441
10570,1045.24115867441
10571,1045.24115867441
10572,1045.24115867441
10573,1045.24115867441
10574,1045.24115867441
10575,1045.24115867441
10576,1045.24115867441
10577,1045.24115867441
10578,1045.24115867441
10579,1045.24115867441
10580,1045.24115867441
10581,1045.24115867441
10582,1045.24115867441
10583,1045.24115867441
10584,1045.24115867441
10585,1045.24115867441
10586,1045.24115867441
10587,1045.24115867441
10588,1045.24115867441
10589,1045.24115867441
10590,1045.24115867441
10591,970.7506228698587
10592,970.7506228698587
10593,970.7506228698587
10594,970.7506228698587
10595,970.7506228698587
10596,970.7506228698587
10597,970.7506228698587
10598,970.7506228698587
10599,970.7506228698587
10600,970.7506228698587
10601,970.7506228698587
10602,970.7506228698587
10603,970.7506228698587
10604,970.7506228698587
10605,970.7506228698587
10606,970.7506228698587
10607,970.7506228698587
10608,970.7506228698587
10609,970.7506228698587
10610,970.7506228698587
10611,970.7506228698587
10612,970.7506228698587
10613,970.7506228698587
10614,970.7506228698587
10615,970.7506228698587
10616,970.7506228698587
10617,970.7506228698587
10618,970.7506228698587
10619,970.7506228698587
10620,970.7506228698587
10621,970.7506228698587
10622,970.7506228698587
10623,970.7506228698587
10624,970.7506228698587
10625,970.7506228698587
10626,970.7506228698587
