,NHSLTOT Index_ratio
10894,927.2224080776131
10895,927.2224080776131
10896,927.2224080776131
10897,927.2224080776131
10898,927.2224080776131
10899,927.2224080776131
10900,927.2224080776131
10901,927.2224080776131
10902,927.2224080776131
10903,927.2224080776131
10904,927.2224080776131
10905,927.2224080776131
10906,927.2224080776131
10907,927.2224080776131
10908,927.2224080776131
10909,927.2224080776131
10910,927.2224080776131
10911,927.2224080776131
10912,927.2224080776131
10913,927.2224080776131
10914,927.2224080776131
10915,927.2224080776131
10916,927.2224080776131
10917,927.2224080776131
10918,927.2224080776131
10919,927.2224080776131
10920,927.2224080776131
10921,927.2224080776131
10922,927.2224080776131
10923,927.2224080776131
10924,927.2224080776131
10925,927.2224080776131
10926,927.2224080776131
10927,927.2224080776131
10928,927.2224080776131
10929,927.2224080776131
10930,927.2224080776131
10931,927.2224080776131
10932,927.2224080776131
10933,927.2224080776131
10934,927.2224080776131
10935,927.2224080776131
10936,927.2224080776131
10937,927.2224080776131
10938,927.2224080776131
10939,927.2224080776131
10940,927.2224080776131
10941,927.2224080776131
10942,927.2224080776131
10943,927.2224080776131
10944,927.2224080776131
10945,927.2224080776131
10946,927.2224080776131
10947,927.2224080776131
10948,927.2224080776131
10949,927.2224080776131
10950,927.2224080776131
10951,927.2224080776131
10952,927.2224080776131
10953,927.2224080776131
10954,927.2224080776131
10955,927.2224080776131
10956,848.619957843259
10957,848.619957843259
10958,848.619957843259
10959,848.619957843259
10960,848.619957843259
10961,848.619957843259
10962,848.619957843259
10963,848.619957843259
10964,848.619957843259
10965,848.619957843259
10966,848.619957843259
10967,848.619957843259
10968,848.619957843259
10969,848.619957843259
10970,848.619957843259
10971,848.619957843259
10972,848.619957843259
10973,848.619957843259
10974,848.619957843259
10975,848.619957843259
10976,848.619957843259
10977,848.619957843259
10978,848.619957843259
10979,848.619957843259
10980,848.619957843259
10981,848.619957843259
10982,848.619957843259
10983,848.619957843259
10984,848.619957843259
10985,848.619957843259
10986,848.619957843259
10987,848.619957843259
10988,848.619957843259
10989,848.619957843259
10990,848.619957843259
10991,848.619957843259
10992,848.619957843259
10993,848.619957843259
10994,848.619957843259
10995,848.619957843259
10996,848.619957843259
10997,848.619957843259
10998,848.619957843259
10999,848.619957843259
11000,848.619957843259
11001,848.619957843259
11002,848.619957843259
11003,848.619957843259
11004,848.619957843259
11005,848.619957843259
11006,848.619957843259
11007,848.619957843259
11008,848.619957843259
11009,848.619957843259
11010,848.619957843259
11011,848.619957843259
11012,848.619957843259
11013,848.619957843259
11014,848.619957843259
11015,848.619957843259
11016,848.619957843259
11017,848.619957843259
11018,848.619957843259
11019,848.619957843259
11020,848.619957843259
11021,848.619957843259
11022,848.619957843259
11023,848.619957843259
11024,848.619957843259
11025,848.619957843259
11026,848.619957843259
11027,848.619957843259
11028,848.619957843259
11029,848.619957843259
11030,848.619957843259
11031,848.619957843259
11032,848.619957843259
11033,848.619957843259
11034,848.619957843259
11035,848.619957843259
11036,848.619957843259
11037,848.619957843259
11038,848.619957843259
11039,848.619957843259
11040,848.619957843259
11041,848.619957843259
11042,848.619957843259
11043,848.619957843259
11044,848.619957843259
11045,848.619957843259
11046,848.619957843259
11047,778.3443721548169
11048,778.3443721548169
11049,778.3443721548169
11050,778.3443721548169
11051,778.3443721548169
11052,778.3443721548169
11053,778.3443721548169
11054,778.3443721548169
11055,778.3443721548169
11056,778.3443721548169
11057,778.3443721548169
11058,778.3443721548169
11059,778.3443721548169
11060,778.3443721548169
11061,778.3443721548169
11062,778.3443721548169
11063,778.3443721548169
11064,778.3443721548169
11065,778.3443721548169
11066,778.3443721548169
11067,778.3443721548169
11068,778.3443721548169
11069,778.3443721548169
11070,778.3443721548169
11071,778.3443721548169
11072,778.3443721548169
11073,778.3443721548169
11074,778.3443721548169
11075,778.3443721548169
11076,778.3443721548169
11077,778.3443721548169
11078,778.3443721548169
11079,778.3443721548169
11080,778.3443721548169
11081,778.3443721548169
11082,778.3443721548169
11083,778.3443721548169
11084,778.3443721548169
11085,778.3443721548169
11086,778.3443721548169
11087,778.3443721548169
11088,778.3443721548169
11089,778.3443721548169
11090,778.3443721548169
11091,778.3443721548169
11092,778.3443721548169
11093,778.3443721548169
11094,778.3443721548169
11095,778.3443721548169
11096,778.3443721548169
11097,778.3443721548169
11098,778.3443721548169
11099,778.3443721548169
11100,778.3443721548169
11101,778.3443721548169
11102,778.3443721548169
11103,778.3443721548169
11104,778.3443721548169
11105,778.3443721548169
11106,778.3443721548169
11107,778.3443721548169
11108,778.3443721548169
11109,778.3443721548169
