,PCE DEFM Index_ratio
10902,997.2862957937587
10903,997.2862957937587
10904,997.2862957937587
10905,997.2862957937587
10906,997.2862957937587
10907,997.2862957937587
10908,997.2862957937587
10909,997.2862957937587
10910,997.2862957937587
10911,997.2862957937587
10912,997.2862957937587
10913,997.2862957937587
10914,997.2862957937587
10915,997.2862957937587
10916,997.2862957937587
10917,997.2862957937587
10918,997.2862957937587
10919,997.2862957937587
10920,997.2862957937587
10921,997.2862957937587
10922,997.2862957937587
10923,997.2862957937587
10924,997.2862957937587
10925,997.2862957937587
10926,997.2862957937587
10927,997.2862957937587
10928,997.2862957937587
10929,997.2862957937587
10930,997.2862957937587
10931,997.2862957937587
10932,997.2862957937587
10933,997.2862957937587
10934,997.2862957937587
10935,997.2862957937587
10936,997.2862957937587
10937,997.2862957937587
10938,997.2862957937587
10939,997.2862957937587
10940,997.2862957937587
10941,997.2862957937587
10942,997.2862957937587
10943,997.2862957937587
10944,997.2862957937587
10945,997.2862957937587
10946,997.2862957937587
10947,997.2862957937587
10948,997.2862957937587
10949,997.2862957937587
10950,997.2862957937587
10951,997.2862957937587
10952,997.2862957937587
10953,997.2862957937587
10954,997.2862957937587
10955,997.2862957937587
10956,1214.5623084398594
10957,1214.5623084398594
10958,1214.5623084398594
10959,1214.5623084398594
10960,1214.5623084398594
10961,1214.5623084398594
10962,1214.5623084398594
10963,1214.5623084398594
10964,1214.5623084398594
10965,1214.5623084398594
10966,1214.5623084398594
10967,1214.5623084398594
10968,1214.5623084398594
10969,1214.5623084398594
10970,1214.5623084398594
10971,1214.5623084398594
10972,1214.5623084398594
10973,1214.5623084398594
10974,1214.5623084398594
10975,1214.5623084398594
10976,1214.5623084398594
10977,1214.5623084398594
10978,1214.5623084398594
10979,1214.5623084398594
10980,1214.5623084398594
10981,1214.5623084398594
10982,1214.5623084398594
10983,1214.5623084398594
10984,1214.5623084398594
10985,1214.5623084398594
10986,1214.5623084398594
10987,1214.5623084398594
10988,1214.5623084398594
10989,1214.5623084398594
10990,1214.5623084398594
10991,1214.5623084398594
10992,1214.5623084398594
10993,1214.5623084398594
10994,1214.5623084398594
10995,1214.5623084398594
10996,1214.5623084398594
10997,1214.5623084398594
10998,1214.5623084398594
10999,1214.5623084398594
11000,1214.5623084398594
11001,1214.5623084398594
11002,1214.5623084398594
11003,1214.5623084398594
11004,1214.5623084398594
11005,1214.5623084398594
11006,1214.5623084398594
11007,1214.5623084398594
11008,1214.5623084398594
11009,1214.5623084398594
11010,1214.5623084398594
11011,1214.5623084398594
11012,1214.5623084398594
11013,1214.5623084398594
11014,1214.5623084398594
11015,1214.5623084398594
11016,1214.5623084398594
11017,1214.5623084398594
11018,1214.5623084398594
11019,1214.5623084398594
11020,1214.5623084398594
11021,1214.5623084398594
11022,1214.5623084398594
11023,1214.5623084398594
11024,1214.5623084398594
11025,1214.5623084398594
11026,1214.5623084398594
11027,1214.5623084398594
11028,1214.5623084398594
11029,1214.5623084398594
11030,1214.5623084398594
11031,1214.5623084398594
11032,1214.5623084398594
11033,1214.5623084398594
11034,1214.5623084398594
11035,1214.5623084398594
11036,1214.5623084398594
11037,1214.5623084398594
11038,1214.5623084398594
11039,1214.5623084398594
11040,1214.5623084398594
11041,1214.5623084398594
11042,1214.5623084398594
11043,1214.5623084398594
11044,1214.5623084398594
11045,1214.5623084398594
11046,1214.5623084398594
11047,848.2446206115513
11048,848.2446206115513
11049,848.2446206115513
11050,848.2446206115513
11051,848.2446206115513
11052,848.2446206115513
11053,848.2446206115513
11054,848.2446206115513
11055,848.2446206115513
11056,848.2446206115513
11057,848.2446206115513
11058,848.2446206115513
11059,848.2446206115513
11060,848.2446206115513
11061,848.2446206115513
11062,848.2446206115513
11063,848.2446206115513
11064,848.2446206115513
11065,848.2446206115513
11066,848.2446206115513
11067,848.2446206115513
11068,848.2446206115513
11069,848.2446206115513
11070,848.2446206115513
11071,848.2446206115513
11072,848.2446206115513
11073,848.2446206115513
11074,848.2446206115513
11075,848.2446206115513
11076,848.2446206115513
11077,848.2446206115513
11078,848.2446206115513
11079,848.2446206115513
11080,848.2446206115513
11081,848.2446206115513
11082,848.2446206115513
11083,848.2446206115513
11084,848.2446206115513
11085,848.2446206115513
11086,848.2446206115513
11087,848.2446206115513
11088,848.2446206115513
11089,848.2446206115513
11090,848.2446206115513
11091,848.2446206115513
11092,848.2446206115513
11093,848.2446206115513
11094,848.2446206115513
11095,848.2446206115513
11096,848.2446206115513
11097,848.2446206115513
11098,848.2446206115513
11099,848.2446206115513
11100,848.2446206115513
11101,848.2446206115513
11102,848.2446206115513
11103,848.2446206115513
11104,848.2446206115513
11105,848.2446206115513
11106,848.2446206115513
11107,848.2446206115513
11108,848.2446206115513
11109,848.2446206115513
11110,848.2446206115513
11111,848.2446206115513
11112,848.2446206115513
11113,848.2446206115513
11114,848.2446206115513
11115,848.2446206115513
11116,848.2446206115513
11117,848.2446206115513
11118,848.2446206115513
11119,848.2446206115513
11120,848.2446206115513
11121,848.2446206115513
11122,848.2446206115513
11123,848.2446206115513
11124,848.2446206115513
11125,848.2446206115513
11126,848.2446206115513
11127,848.2446206115513
11128,848.2446206115513
11129,848.2446206115513
11130,848.2446206115513
11131,848.2446206115513
11132,848.2446206115513
11133,848.2446206115513
11134,848.2446206115513
11135,848.2446206115513
11136,848.2446206115513
11137,848.2446206115513
11138,894.0471353108495
11139,894.0471353108495
11140,894.0471353108495
11141,894.0471353108495
11142,894.0471353108495
11143,894.0471353108495
11144,894.0471353108495
11145,894.0471353108495
11146,894.0471353108495
11147,894.0471353108495
11148,894.0471353108495
11149,894.0471353108495
11150,894.0471353108495
11151,894.0471353108495
11152,894.0471353108495
11153,894.0471353108495
11154,894.0471353108495
11155,894.0471353108495
11156,894.0471353108495
11157,894.0471353108495
11158,894.0471353108495
11159,894.0471353108495
11160,894.0471353108495
11161,894.0471353108495
11162,894.0471353108495
11163,894.0471353108495
11164,894.0471353108495
11165,894.0471353108495
11166,894.0471353108495
11167,894.0471353108495
11168,894.0471353108495
11169,894.0471353108495
11170,894.0471353108495
11171,894.0471353108495
11172,894.0471353108495
11173,894.0471353108495
11174,894.0471353108495
11175,894.0471353108495
11176,894.0471353108495
11177,894.0471353108495
11178,894.0471353108495
11179,894.0471353108495
11180,894.0471353108495
11181,894.0471353108495
11182,894.0471353108495
11183,894.0471353108495
11184,894.0471353108495
11185,894.0471353108495
11186,894.0471353108495
11187,894.0471353108495
11188,894.0471353108495
11189,894.0471353108495
11190,894.0471353108495
11191,894.0471353108495
11192,894.0471353108495
11193,894.0471353108495
11194,894.0471353108495
11195,894.0471353108495
11196,894.0471353108495
11197,894.0471353108495
11198,894.0471353108495
11199,894.0471353108495
11200,894.0471353108495
11201,894.0471353108495
11202,894.0471353108495
11203,894.0471353108495
11204,894.0471353108495
11205,894.0471353108495
11206,894.0471353108495
11207,894.0471353108495
11208,894.0471353108495
11209,894.0471353108495
11210,894.0471353108495
11211,894.0471353108495
11212,894.0471353108495
11213,894.0471353108495
11214,894.0471353108495
11215,894.0471353108495
11216,894.0471353108495
11217,894.0471353108495
11218,894.0471353108495
11219,894.0471353108495
11220,894.0471353108495
11221,894.0471353108495
11222,894.0471353108495
11223,894.0471353108495
11224,894.0471353108495
11225,894.0471353108495
11226,894.0471353108495
11227,894.0471353108495
11228,894.0471353108495
11229,894.0471353108495
11230,1128.5081240768095
11231,1128.5081240768095
11232,1128.5081240768095
11233,1128.5081240768095
11234,1128.5081240768095
11235,1128.5081240768095
11236,1128.5081240768095
11237,1128.5081240768095
11238,1128.5081240768095
11239,1128.5081240768095
11240,1128.5081240768095
11241,1128.5081240768095
11242,1128.5081240768095
11243,1128.5081240768095
11244,1128.5081240768095
11245,1128.5081240768095
11246,1128.5081240768095
11247,1128.5081240768095
