,PCE CRCH Index_ratio
11158,-35257.713884993005
11159,-35257.713884993005
11160,-35257.713884993005
11161,-35257.713884993005
11162,-35257.713884993005
11163,-35257.713884993005
11164,-35257.713884993005
11165,-35257.713884993005
11166,-35257.713884993005
11167,-35257.713884993005
11168,-35257.713884993005
11169,-35257.713884993005
11170,-35257.713884993005
11171,-35257.713884993005
11172,-35257.713884993005
11173,-35257.713884993005
11174,-35257.713884993005
11175,-35257.713884993005
11176,-35257.713884993005
11177,-35257.713884993005
11178,-35257.713884993005
11179,-35257.713884993005
11180,-35257.713884993005
11181,-35257.713884993005
11182,-35257.713884993005
11183,-35257.713884993005
11184,-35257.713884993005
11185,-35257.713884993005
11186,-35257.713884993005
11187,-35257.713884993005
11188,-35257.713884993005
11189,-35257.713884993005
11190,-35257.713884993005
11191,-35257.713884993005
11192,-35257.713884993005
11193,-35257.713884993005
11194,-35257.713884993005
11195,-35257.713884993005
11196,-35257.713884993005
11197,-35257.713884993005
11198,-35257.713884993005
11199,-35257.713884993005
11200,-35257.713884993005
11201,-35257.713884993005
11202,-35257.713884993005
11203,-35257.713884993005
11204,-35257.713884993005
11205,-35257.713884993005
11206,-35257.713884993005
11207,-35257.713884993005
11208,-35257.713884993005
11209,-35257.713884993005
11210,-35257.713884993005
11211,-35257.713884993005
11212,-35257.713884993005
11213,-35257.713884993005
11214,-35257.713884993005
11215,-35257.713884993005
11216,-35257.713884993005
11217,-35257.713884993005
11218,-35257.713884993005
11219,-35257.713884993005
11220,-35257.713884993005
11221,-35257.713884993005
11222,-35257.713884993005
11223,-35257.713884993005
11224,-35257.713884993005
11225,-35257.713884993005
11226,-35257.713884993005
11227,-35257.713884993005
11228,-35257.713884993005
11229,-35257.713884993005
11230,940.2714932126694
11231,940.2714932126694
11232,940.2714932126694
11233,940.2714932126694
11234,940.2714932126694
11235,940.2714932126694
11236,940.2714932126694
11237,940.2714932126694
11238,940.2714932126694
11239,940.2714932126694
11240,940.2714932126694
11241,940.2714932126694
11242,940.2714932126694
11243,940.2714932126694
11244,940.2714932126694
11245,940.2714932126694
11246,940.2714932126694
11247,940.2714932126694
11248,940.2714932126694
