,NAPMPMI Index_ratio
11037,964.343218908107
11038,964.343218908107
11039,964.343218908107
11040,964.343218908107
11041,964.343218908107
11042,964.343218908107
11043,964.343218908107
11044,964.343218908107
11045,964.343218908107
11046,964.343218908107
11047,778.8075450555607
11048,778.8075450555607
11049,778.8075450555607
11050,778.8075450555607
11051,778.8075450555607
11052,778.8075450555607
11053,778.8075450555607
11054,778.8075450555607
11055,778.8075450555607
11056,778.8075450555607
11057,778.8075450555607
11058,778.8075450555607
11059,778.8075450555607
11060,778.8075450555607
11061,778.8075450555607
11062,778.8075450555607
11063,778.8075450555607
11064,778.8075450555607
11065,778.8075450555607
11066,778.8075450555607
11067,778.8075450555607
11068,778.8075450555607
11069,778.8075450555607
11070,778.8075450555607
11071,778.8075450555607
11072,778.8075450555607
11073,778.8075450555607
11074,778.8075450555607
11075,778.8075450555607
11076,778.8075450555607
11077,778.8075450555607
11078,778.8075450555607
11079,778.8075450555607
11080,778.8075450555607
11081,778.8075450555607
11082,778.8075450555607
11083,778.8075450555607
11084,778.8075450555607
11085,778.8075450555607
11086,778.8075450555607
11087,778.8075450555607
11088,778.8075450555607
11089,778.8075450555607
11090,778.8075450555607
11091,778.8075450555607
11092,778.8075450555607
11093,778.8075450555607
11094,778.8075450555607
11095,778.8075450555607
11096,778.8075450555607
11097,778.8075450555607
11098,778.8075450555607
11099,778.8075450555607
11100,778.8075450555607
11101,778.8075450555607
11102,778.8075450555607
11103,778.8075450555607
11104,778.8075450555607
11105,778.8075450555607
11106,778.8075450555607
11107,778.8075450555607
11108,778.8075450555607
11109,778.8075450555607
11110,778.8075450555607
11111,778.8075450555607
11112,778.8075450555607
11113,778.8075450555607
11114,778.8075450555607
11115,778.8075450555607
11116,778.8075450555607
11117,778.8075450555607
11118,778.8075450555607
11119,778.8075450555607
11120,778.8075450555607
11121,778.8075450555607
11122,778.8075450555607
11123,778.8075450555607
11124,778.8075450555607
11125,778.8075450555607
11126,778.8075450555607
11127,778.8075450555607
11128,778.8075450555607
11129,778.8075450555607
11130,778.8075450555607
11131,778.8075450555607
11132,778.8075450555607
11133,778.8075450555607
11134,778.8075450555607
11135,778.8075450555607
11136,778.8075450555607
11137,778.8075450555607
11138,1010.774426790981
11139,1010.774426790981
11140,1010.774426790981
11141,1010.774426790981
11142,1010.774426790981
11143,1010.774426790981
11144,1010.774426790981
11145,1010.774426790981
11146,1010.774426790981
11147,1010.774426790981
11148,1010.774426790981
11149,1010.774426790981
11150,1010.774426790981
11151,1010.774426790981
11152,1010.774426790981
11153,1010.774426790981
11154,1010.774426790981
11155,1010.774426790981
11156,1010.774426790981
11157,1010.774426790981
11158,1010.774426790981
11159,1010.774426790981
11160,1010.774426790981
11161,1010.774426790981
11162,1010.774426790981
11163,1010.774426790981
11164,1010.774426790981
11165,1010.774426790981
11166,1010.774426790981
11167,1010.774426790981
11168,1010.774426790981
11169,1010.774426790981
11170,1010.774426790981
11171,1010.774426790981
11172,1010.774426790981
11173,1010.774426790981
11174,1010.774426790981
11175,1010.774426790981
11176,1010.774426790981
