,CPUPXCHG Index_ratio
10739,989.0109890109892
10740,989.0109890109892
10741,989.0109890109892
10742,989.0109890109892
10743,989.0109890109892
10744,989.0109890109892
10745,989.0109890109892
10746,989.0109890109892
10747,989.0109890109892
10748,989.0109890109892
10749,989.0109890109892
10750,989.0109890109892
10751,989.0109890109892
10752,989.0109890109892
10753,989.0109890109892
10754,989.0109890109892
10755,989.0109890109892
10756,989.0109890109892
10757,989.0109890109892
10758,989.0109890109892
10759,989.0109890109892
10760,989.0109890109892
10761,989.0109890109892
10762,989.0109890109892
10763,989.0109890109892
10764,989.0109890109892
10765,989.0109890109892
10766,989.0109890109892
10767,989.0109890109892
10768,989.0109890109892
10769,989.0109890109892
10770,989.0109890109892
10771,989.0109890109892
10772,1132.8745699092894
10773,1132.8745699092894
10774,1132.8745699092894
10775,1132.8745699092894
10776,1132.8745699092894
10777,1132.8745699092894
10778,1132.8745699092894
10779,1132.8745699092894
10780,1132.8745699092894
10781,1132.8745699092894
10782,1132.8745699092894
10783,1132.8745699092894
10784,1132.8745699092894
10785,1132.8745699092894
10786,1132.8745699092894
10787,1132.8745699092894
10788,1132.8745699092894
10789,1132.8745699092894
10790,1132.8745699092894
10791,1132.8745699092894
10792,1132.8745699092894
10793,1132.8745699092894
10794,1132.8745699092894
10795,1132.8745699092894
10796,1132.8745699092894
10797,1132.8745699092894
10798,1132.8745699092894
10799,1132.8745699092894
10800,1132.8745699092894
10801,1132.8745699092894
10802,1132.8745699092894
10803,1132.8745699092894
10804,1132.8745699092894
10805,1132.8745699092894
10806,1132.8745699092894
10807,1132.8745699092894
10808,1132.8745699092894
10809,1132.8745699092894
10810,1132.8745699092894
10811,1132.8745699092894
10812,1132.8745699092894
10813,1132.8745699092894
10814,1132.8745699092894
10815,1132.8745699092894
10816,1132.8745699092894
10817,1132.8745699092894
10818,1132.8745699092894
10819,1132.8745699092894
10820,1132.8745699092894
10821,1132.8745699092894
10822,1132.8745699092894
10823,1132.8745699092894
10824,1132.8745699092894
10825,1132.8745699092894
10826,1132.8745699092894
10827,1132.8745699092894
10828,1132.8745699092894
10829,1132.8745699092894
10830,1132.8745699092894
10831,1132.8745699092894
10832,1132.8745699092894
10833,1132.8745699092894
10834,1132.8745699092894
10835,1132.8745699092894
10836,1132.8745699092894
10837,1132.8745699092894
10838,1132.8745699092894
10839,1132.8745699092894
10840,1132.8745699092894
10841,1132.8745699092894
10842,1132.8745699092894
10843,1132.8745699092894
10844,1132.8745699092894
10845,1132.8745699092894
10846,1132.8745699092894
10847,1132.8745699092894
10848,1132.8745699092894
10849,1132.8745699092894
10850,1132.8745699092894
10851,1132.8745699092894
10852,1132.8745699092894
10853,1132.8745699092894
10854,1132.8745699092894
10855,1132.8745699092894
10856,1132.8745699092894
10857,1132.8745699092894
10858,1132.8745699092894
10859,1132.8745699092894
10860,1132.8745699092894
10861,1132.8745699092894
10862,1132.8745699092894
10863,1132.8745699092894
10864,1121.8592964824122
10865,1121.8592964824122
10866,1121.8592964824122
10867,1121.8592964824122
10868,1121.8592964824122
10869,1121.8592964824122
10870,1121.8592964824122
10871,1121.8592964824122
10872,1121.8592964824122
10873,1121.8592964824122
10874,1121.8592964824122
10875,1121.8592964824122
10876,1121.8592964824122
10877,1121.8592964824122
10878,1121.8592964824122
10879,1121.8592964824122
10880,1121.8592964824122
10881,1121.8592964824122
10882,1121.8592964824122
10883,1121.8592964824122
10884,1121.8592964824122
10885,1121.8592964824122
10886,1121.8592964824122
10887,1121.8592964824122
10888,1121.8592964824122
